DIGITAL REPORT
Report Taken on : 21/Feb/21 19:40:57
From: 21/Feb/21  00:00:00
To: 21/Feb/21  19:37:50 
SlNo     STATION NAME          SIGNAL NAME               SIGNAL STATUS               SIGNAL TIME            
378      STN-E           1 Dxl                     UP                          02/21/2021 15:49:44:765     
379      STN-E           1HECxl                    DOWN                        02/21/2021 15:49:45:375     
380      STN-E           1DECxl                    UP                          02/21/2021 15:49:45:578     
381      STN-E           1Aplm                     DOWN                        02/21/2021 15:57:03:687     
382      STN-E           1T1xl                     DOWN                        02/21/2021 15:57:09:015     
383      STN-E           1 Dxl                     DOWN                        02/21/2021 15:57:09:218     
384      STN-E           1Hxl                      DOWN                        02/21/2021 15:57:09:218     
385      STN-E           1DECxl                    DOWN                        02/21/2021 15:57:09:328     
386      STN-E           1T2xl                     DOWN                        02/21/2021 15:57:24:093     
387      STN-E           1Aplm                     UP                          02/21/2021 15:57:53:546     
388      STN-E           1T1xl                     UP                          02/21/2021 15:58:08:906     
389      STN-E           1T2xl                     UP                          02/21/2021 15:58:17:875     
390      STN-E           22 Dxl                    UP                          02/21/2021 16:36:16:906     
391      STN-E           22DECxl                   UP                          02/21/2021 16:36:17:953     
392      STN-E           1T2xl                     DOWN                        02/21/2021 16:54:19:953     
393      STN-E           22 Dxl                    DOWN                        02/21/2021 16:54:20:156     
394      STN-E           22DECxl                   DOWN                        02/21/2021 16:54:20:250     
395      STN-E           1T1xl                     DOWN                        02/21/2021 16:54:28:218     
396      STN-E           1Aplm                     DOWN                        02/21/2021 16:54:42:359     
397      STN-E           1T2xl                     UP                          02/21/2021 16:55:09:281     
398      STN-E           1T1xl                     UP                          02/21/2021 16:55:22:093     
399      STN-E           1Aplm                     UP                          02/21/2021 16:55:26:468     
400      STN-E           1Hxl                      UP                          02/21/2021 18:44:08:593     
401      STN-E           1HECxl                    UP                          02/21/2021 18:44:09:375     
402      STN-E           1 Dxl                     UP                          02/21/2021 18:44:34:390     
403      STN-E           1HECxl                    DOWN                        02/21/2021 18:44:35:000     
404      STN-E           1DECxl                    UP                          02/21/2021 18:44:35:203     
405      STN-E           1Aplm                     DOWN                        02/21/2021 18:49:59:796     
406      STN-E           1T1xl                     DOWN                        02/21/2021 18:50:02:671     
407      STN-E           1 Dxl                     DOWN                        02/21/2021 18:50:02:875     
408      STN-E           1Hxl                      DOWN                        02/21/2021 18:50:02:875     
409      STN-E           1DECxl                    DOWN                        02/21/2021 18:50:02:968     
410      STN-E           1T2xl                     DOWN                        02/21/2021 18:50:10:843     
411      STN-E           1Aplm                     UP                          02/21/2021 18:50:23:187     
412      STN-E           1T1xl                     UP                          02/21/2021 18:50:31:968     
413      STN-E           1T2xl                     UP                          02/21/2021 18:50:36:859     
414      STN-E           22 Dxl                    UP                          02/21/2021 19:37:27:078     
415      STN-E           22DECxl                   UP                          02/21/2021 19:37:28:140     
