DIGITAL REPORT
Report Taken on : 21/Feb/21 19:40:57
From: 21/Feb/21  00:00:00
To: 21/Feb/21  19:37:50 
SlNo     STATION NAME          SIGNAL NAME               SIGNAL STATUS               SIGNAL TIME            
88       STN-E           1HECxl                    UP                          02/21/2021 03:14:24:562     
89       STN-E           1Aplm                     DOWN                        02/21/2021 03:33:37:968     
90       STN-E           1T1xl                     DOWN                        02/21/2021 03:33:52:640     
91       STN-E           BUxl                      DOWN                        02/21/2021 03:33:52:828     
92       STN-E           1Hxl                      DOWN                        02/21/2021 03:33:52:843     
93       STN-E           1HECxl                    DOWN                        02/21/2021 03:33:52:937     
94       STN-E           1T2xl                     DOWN                        02/21/2021 03:34:41:593     
95       STN-E           1Aplm                     UP                          02/21/2021 03:37:00:906     
96       STN-E           1T1xl                     UP                          02/21/2021 03:38:18:078     
97       STN-E           1T2xl                     UP                          02/21/2021 03:39:01:968     
98       STN-E           WNxl                      UP                          02/21/2021 03:41:11:171     
99       STN-E           101Bxyz                   DOWN                        02/21/2021 03:41:11:296     
100      STN-E           101Axyz                   DOWN                        02/21/2021 03:41:11:312     
101      STN-E           101Boswe                   UP                          02/21/2021 03:41:13:984     
102      STN-E           101Aoswe                   UP                          02/21/2021 03:41:14:093     
103      STN-E           WNxl                      DOWN                        02/21/2021 03:41:23:640     
104      STN-W           109WRxl                   UP                          02/21/2021 03:45:03:937     
105      STN-W           109 Aoswe                  DOWN                        02/21/2021 03:45:04:062     
106      STN-W           109 Boswe                  DOWN                        02/21/2021 03:45:04:062     
107      STN-W           109Axyz                   UP                          02/21/2021 03:45:06:390     
108      STN-W           109 Bxyz                  UP                          02/21/2021 03:45:07:234     
109      STN-W           109WRxl                   DOWN                        02/21/2021 03:45:14:906     
110      STN-W           109 WNxl                  UP                          02/21/2021 03:51:50:421     
111      STN-W           109 Bxyz                  DOWN                        02/21/2021 03:51:50:546     
112      STN-W           109Axyz                   DOWN                        02/21/2021 03:51:50:562     
113      STN-W           109 Aoswe                  UP                          02/21/2021 03:51:52:875     
114      STN-W           109 Boswe                  UP                          02/21/2021 03:51:53:656     
115      STN-W           109 WNxl                  DOWN                        02/21/2021 03:52:01:390     
116      STN-E           22 Dxl                    UP                          02/21/2021 05:01:34:750     
117      STN-E           22DECxl                   UP                          02/21/2021 05:01:35:765     
118      STN-E           1T2xl                     DOWN                        02/21/2021 05:12:06:687     
119      STN-E           22 Dxl                    DOWN                        02/21/2021 05:12:06:875     
120      STN-E           22DECxl                   DOWN                        02/21/2021 05:12:06:968     
121      STN-E           1T1xl                     DOWN                        02/21/2021 05:12:13:828     
122      STN-E           1Aplm                     DOWN                        02/21/2021 05:12:26:406     
123      STN-E           1T2xl                     UP                          02/21/2021 05:12:53:984     
124      STN-E           1T1xl                     UP                          02/21/2021 05:13:08:437     
125      STN-E           1Aplm                     UP                          02/21/2021 05:13:13:515     
126      STN-E           22 Dxl                    UP                          02/21/2021 05:39:13:390     
127      STN-E           22DECxl                   UP                          02/21/2021 05:39:14:406     
128      STN-E           1T2xl                     DOWN                        02/21/2021 05:42:59:078     
129      STN-E           22 Dxl                    DOWN                        02/21/2021 05:42:59:281     
130      STN-E           22DECxl                   DOWN                        02/21/2021 05:42:59:375     
131      STN-E           1T1xl                     DOWN                        02/21/2021 05:43:05:062     
132      STN-E           1T2xl                     UP                          02/21/2021 05:43:06:796     
133      STN-E           1Aplm                     DOWN                        02/21/2021 05:43:15:515     
134      STN-E           1T1xl                     UP                          02/21/2021 05:43:17:328     
135      STN-E           1Aplm                     UP                          02/21/2021 05:43:20:953     
136      STN-W           109WRxl                   UP                          02/21/2021 06:10:48:859     
137      STN-W           109 Aoswe                  DOWN                        02/21/2021 06:10:48:984     
138      STN-W           109 Boswe                  DOWN                        02/21/2021 06:10:49:000     
139      STN-W           109Axyz                   UP                          02/21/2021 06:10:51:296     
140      STN-W           109 Bxyz                  UP                          02/21/2021 06:10:52:187     
141      STN-W           109WRxl                   DOWN                        02/21/2021 06:10:59:812     
142      STN-E           WRxl                      UP                          02/21/2021 06:15:53:734     
143      STN-E           101Aoswe                   DOWN                        02/21/2021 06:15:53:859     
144      STN-E           101Boswe                   DOWN                        02/21/2021 06:15:53:875     
145      STN-E           101Axyz                   UP                          02/21/2021 06:15:56:515     
146      STN-E           101Bxyz                   UP                          02/21/2021 06:15:56:578     
147      STN-E           WRxl                      DOWN                        02/21/2021 06:16:06:109     
148      STN-W           109 WNxl                  UP                          02/21/2021 06:26:52:796     
149      STN-W           109 Bxyz                  DOWN                        02/21/2021 06:26:52:921     
150      STN-W           109Axyz                   DOWN                        02/21/2021 06:26:52:953     
151      STN-W           109 Aoswe                  UP                          02/21/2021 06:26:55:250     
152      STN-W           109 Boswe                  UP                          02/21/2021 06:26:56:062     
153      STN-W           109 WNxl                  DOWN                        02/21/2021 06:27:03:765     
154      STN-E           WNxl                      UP                          02/21/2021 06:28:47:593     
155      STN-E           101Bxyz                   DOWN                        02/21/2021 06:28:47:718     
156      STN-E           101Axyz                   DOWN                        02/21/2021 06:28:47:734     
157      STN-E           101Boswe                   UP                          02/21/2021 06:28:50:406     
158      STN-E           101Aoswe                   UP                          02/21/2021 06:28:50:515     
159      STN-E           WNxl                      DOWN                        02/21/2021 06:29:00:265     
160      STN-E           22 Dxl                    UP                          02/21/2021 06:53:17:234     
161      STN-E           22DECxl                   UP                          02/21/2021 06:53:18:250     
162      STN-E           1T2xl                     DOWN                        02/21/2021 06:59:17:484     
163      STN-E           22 Dxl                    DOWN                        02/21/2021 06:59:17:671     
164      STN-E           22DECxl                   DOWN                        02/21/2021 06:59:17:750     
165      STN-E           1T1xl                     DOWN                        02/21/2021 06:59:21:609     
166      STN-E           1Aplm                     DOWN                        02/21/2021 06:59:28:796     
167      STN-E           1T2xl                     UP                          02/21/2021 06:59:36:515     
168      STN-E           1T1xl                     UP                          02/21/2021 06:59:43:812     
169      STN-E           1Aplm                     UP                          02/21/2021 06:59:46:343     
170      STN-E           1Hxl                      UP                          02/21/2021 07:12:36:671     
171      STN-E           1HECxl                    UP                          02/21/2021 07:12:37:421     
172      STN-E           1 Dxl                     UP                          02/21/2021 07:13:11:984     
173      STN-E           1HECxl                    DOWN                        02/21/2021 07:13:12:593     
174      STN-E           1DECxl                    UP                          02/21/2021 07:13:12:796     
175      STN-E           1Aplm                     DOWN                        02/21/2021 07:20:50:656     
176      STN-E           1T1xl                     DOWN                        02/21/2021 07:20:55:687     
177      STN-E           1 Dxl                     DOWN                        02/21/2021 07:20:55:875     
178      STN-E           1Hxl                      DOWN                        02/21/2021 07:20:55:890     
179      STN-E           1DECxl                    DOWN                        02/21/2021 07:20:55:984     
180      STN-E           1T2xl                     DOWN                        02/21/2021 07:21:09:984     
181      STN-E           1Aplm                     UP                          02/21/2021 07:21:42:515     
